deposits,withdrawals,stakes,product,age,target
0,20,80,bet,50+,1
60,20,150,bet,30-50,0
50,10,60,bet,<30,1
20,20,70,gaming,<30,1
60,0,120,bet,<30,0
30,20,70,bet,<30,0
60,10,130,gaming,<30,0
40,30,100,bet,30-50,0
100,10,220,gaming,<30,1
60,20,110,gaming,50+,1
40,30,100,gaming,<30,1
70,10,100,bet,30-50,0
30,10,10,bet,30-50,0
40,20,50,gaming,<30,0
50,20,50,gaming,<30,0
50,40,150,gaming,<30,0
70,10,100,bet,<30,0
40,10,110,bet,<30,0
30,20,20,bet,30-50,0
60,10,100,gaming,<30,1
60,20,90,bet,<30,1
30,0,0,bet,<30,0
70,20,130,gaming,50+,0
40,NA,70,gaming,30-50,0
40,30,20,gaming,30-50,0
40,30,110,bet,50+,1
60,30,180,bet,30-50,0
10,20,70,gaming,30-50,0
40,10,70,gaming,<30,1
90,0,140,gaming,<30,0
40,40,140,gaming,<30,0
50,20,140,gaming,50+,0
50,20,80,bet,<30,0
70,NA,100,gaming,<30,1
30,20,10,gaming,<30,0
90,40,100,gaming,30-50,1
10,30,50,gaming,30-50,1
70,20,90,gaming,<30,1
60,30,60,bet,<30,0
60,10,120,bet,<30,0
40,10,110,gaming,<30,1
70,0,30,bet,30-50,0
90,20,140,bet,<30,0
70,0,150,gaming,<30,1
80,20,110,bet,<30,0
50,330,50,bet,<30,0
60,20,60,bet,30-50,0
30,30,110,bet,30-50,0
50,10,70,bet,<30,0
80,30,170,bet,<30,0
60,30,90,gaming,<30,1
30,10,60,gaming,<30,1
50,20,120,gaming,<30,0
70,20,120,gaming,<30,0
60,10,70,gaming,30-50,0
50,20,0,bet,<30,0
40,120,100,bet,<30,0
50,20,110,gaming,50+,0
70,NA,160,bet,<30,0
30,30,40,gaming,30-50,1
30,10,70,gaming,<30,0
50,30,90,gaming,50+,0
90,30,110,gaming,30-50,0
60,10,40,gaming,<30,1
30,30,0,bet,30-50,1
50,10,20,bet,<30,0
40,10,120,bet,<30,0
70,10,110,bet,<30,1
50,NA,70,bet,50+,1
20,0,10,bet,30-50,0
70,10,40,bet,<30,0
40,10,50,gaming,<30,1
50,30,650,bet,50+,1
60,20,30,bet,50+,0
70,0,0,bet,<30,0
30,20,80,gaming,<30,0
50,30,40,bet,<30,0
20,NA,30,gaming,<30,1
90,0,160,gaming,<30,1
60,0,170,bet,30-50,0
70,40,10,gaming,30-50,0
50,20,70,gaming,<30,0
60,10,90,bet,50+,0
90,10,100,bet,30-50,0
50,20,60,bet,<30,1
40,20,80,bet,<30,0
70,10,70,gaming,<30,0
30,20,70,bet,50+,1
100,20,160,gaming,30-50,0
50,0,40,bet,30-50,0
20,30,30,gaming,<30,1
50,20,20,gaming,<30,0
70,20,140,bet,30-50,0
50,20,110,bet,<30,0
80,40,110,gaming,<30,1
50,20,130,bet,<30,0
20,20,40,gaming,<30,0
70,30,150,gaming,30-50,0
50,1490,70,gaming,30-50,0
40,20,100,bet,<30,0
60,10,150,gaming,<30,0
80,20,170,bet,50+,0
40,10,40,gaming,<30,0
30,90,90,gaming,30-50,0
70,0,130,gaming,<30,0
60,10,100,gaming,<30,0
60,10,130,gaming,30-50,0
50,30,120,gaming,50+,0
60,20,170,gaming,<30,1
20,20,80,gaming,<30,1
70,30,120,gaming,30-50,1
50,10,80,bet,50+,0
60,10,40,gaming,<30,1
50,20,60,bet,<30,0
70,20,70,bet,50+,0
30,340,140,gaming,<30,0
60,10,90,gaming,30-50,0
100,10,160,bet,<30,0
40,20,20,bet,50+,1
10,10,50,bet,<30,1
60,20,920,gaming,50+,1
10,0,0,bet,<30,0
40,30,100,gaming,<30,1
50,20,90,bet,30-50,1
50,30,30,gaming,<30,0
90,30,150,bet,<30,0
40,30,160,bet,30-50,1
60,10,120,gaming,<30,0
40,10,70,gaming,<30,1
30,10,80,gaming,<30,0
30,40,130,gaming,30-50,0
40,20,130,bet,30-50,1
70,NA,100,gaming,<30,0
30,20,60,bet,<30,0
30,20,20,bet,<30,1
60,40,70,gaming,50+,0
30,30,80,gaming,50+,0
70,20,90,gaming,<30,0
20,40,20,gaming,50+,0
60,10,120,bet,<30,0
50,10,130,bet,50+,1
20,10,0,gaming,<30,0
40,30,100,bet,<30,0
60,0,140,gaming,30-50,1
70,20,100,gaming,50+,1
60,30,50,bet,30-50,0
70,10,70,gaming,30-50,0
70,20,140,bet,30-50,0
40,10,60,bet,<30,1
80,NA,170,gaming,30-50,0
20,30,60,bet,<30,1
50,10,90,bet,50+,0
60,NA,130,gaming,<30,0
40,20,80,bet,30-50,0
80,10,90,gaming,50+,0
70,NA,20,bet,30-50,0
60,0,120,bet,<30,0
60,20,120,bet,50+,0
50,20,130,bet,<30,0
50,NA,60,bet,50+,0
70,0,100,bet,<30,0
40,NA,80,gaming,30-50,0
30,NA,50,gaming,<30,0
40,10,30,gaming,30-50,0
60,20,0,bet,<30,0
10,10,0,gaming,<30,1
60,10,150,bet,50+,1
40,10,80,bet,50+,1
40,30,60,gaming,<30,0
70,0,60,bet,<30,0
30,20,10,gaming,30-50,1
60,0,60,bet,<30,0
20,30,30,gaming,<30,1
50,20,10,gaming,<30,0
70,0,0,gaming,50+,1
80,20,130,bet,30-50,0
30,30,20,bet,30-50,0
50,20,50,bet,50+,1
70,0,150,bet,<30,1
40,0,160,gaming,50+,1
110,30,40,gaming,<30,0
60,20,80,bet,50+,1
60,10,90,bet,<30,0
0,20,20,gaming,<30,0
20,20,30,bet,50+,1
30,20,80,gaming,30-50,0
40,10,50,gaming,<30,1
50,10,80,bet,30-50,1
60,20,120,gaming,<30,0
60,0,50,gaming,30-50,0
40,30,50,gaming,50+,0
50,10,20,bet,30-50,0
50,20,120,bet,<30,1
70,NA,140,gaming,<30,1
50,50,80,bet,<30,0
10,20,80,bet,<30,0
30,20,50,bet,30-50,1
30,30,100,gaming,<30,1
20,10,40,gaming,50+,1
60,20,120,gaming,<30,0
50,20,130,gaming,30-50,0
10,20,100,bet,50+,1
30,10,30,gaming,<30,1
30,20,80,bet,50+,0
0,10,60,bet,30-50,1
50,NA,90,bet,50+,1
60,10,120,gaming,<30,1
0,30,60,bet,<30,0
50,20,160,bet,30-50,0
40,20,100,gaming,<30,1
40,30,100,bet,30-50,1
40,20,650,bet,<30,0
10,10,0,bet,30-50,0
30,20,40,bet,<30,1
40,30,40,bet,30-50,1
70,30,1690,bet,30-50,1
70,10,100,gaming,<30,0
40,10,100,gaming,<30,0
40,20,20,bet,50+,1
20,10,60,gaming,50+,1
40,20,70,bet,50+,0
80,0,40,bet,<30,0
60,20,120,bet,30-50,0
50,20,90,bet,<30,0
40,30,20,gaming,50+,0
50,30,120,gaming,30-50,0
40,30,150,gaming,30-50,1
30,20,90,gaming,<30,0
50,10,70,bet,50+,0
10,10,60,bet,<30,0
20,40,120,bet,<30,1
60,20,150,bet,<30,0
50,20,70,gaming,<30,1
60,NA,90,gaming,50+,1
40,20,20,bet,<30,0
40,40,50,gaming,<30,0
50,30,90,bet,30-50,0
60,20,80,gaming,50+,1
60,30,60,bet,30-50,0
40,10,100,bet,<30,0
60,10,130,gaming,<30,0
50,0,20,bet,<30,0
50,30,110,gaming,<30,0
40,10,120,bet,<30,0
50,20,80,bet,<30,0
60,30,60,gaming,<30,0
70,10,710,bet,<30,1
60,180,130,bet,30-50,0
40,10,50,gaming,30-50,0
60,30,1230,bet,50+,1
20,30,60,gaming,<30,0
50,10,90,bet,30-50,0
40,20,100,gaming,50+,0
80,20,120,gaming,<30,0
60,10,680,bet,30-50,1
20,20,0,bet,<30,0
30,10,80,gaming,30-50,0
60,20,110,bet,<30,0
60,20,140,gaming,<30,1
60,30,70,bet,<30,0
70,0,100,gaming,50+,0
40,30,80,bet,30-50,0
30,30,50,bet,30-50,0
40,10,30,bet,<30,0
40,30,0,gaming,50+,0
40,10,10,bet,30-50,0
70,10,150,bet,50+,0
30,10,70,bet,<30,0
50,30,60,bet,50+,0
30,0,20,gaming,30-50,0
60,10,30,bet,50+,0
20,10,30,bet,<30,0
40,30,40,bet,50+,0
60,20,30,bet,<30,0
50,10,0,gaming,50+,0
70,20,120,bet,50+,0
70,30,60,gaming,30-50,0
40,20,40,bet,<30,0
60,10,130,bet,<30,0
60,0,170,bet,<30,0
60,40,0,bet,<30,0
50,20,70,gaming,<30,0
60,10,90,bet,30-50,0
70,20,80,gaming,<30,0
60,20,70,bet,30-50,0
40,20,80,bet,50+,1
50,10,60,gaming,50+,0
80,10,120,bet,30-50,0
50,20,110,bet,<30,1
40,0,30,bet,30-50,0
80,20,90,gaming,<30,0
60,10,30,bet,<30,0
50,20,120,bet,<30,0
60,10,1180,bet,30-50,1
40,50,70,bet,30-50,0
90,20,170,gaming,<30,1
70,20,100,gaming,30-50,0
30,30,100,bet,50+,0
50,10,60,bet,<30,0
60,20,110,bet,30-50,0
70,10,160,gaming,<30,0
40,20,120,bet,<30,0
90,0,90,gaming,30-50,0
10,20,60,gaming,<30,1
40,10,100,gaming,30-50,0
20,20,60,gaming,30-50,0
30,10,100,gaming,<30,0
50,30,110,bet,30-50,0
40,770,150,bet,<30,0
40,20,90,bet,<30,0
30,30,80,gaming,<30,1
60,10,90,bet,30-50,0
70,10,50,bet,<30,0
60,20,60,bet,50+,0
20,30,10,bet,50+,0
50,40,150,bet,<30,0
20,10,50,bet,<30,0
80,10,150,bet,<30,1
50,20,30,bet,<30,0
40,10,80,bet,30-50,1
40,20,70,gaming,<30,0
50,0,10,bet,<30,0
60,20,120,bet,<30,0
90,20,120,gaming,30-50,0
80,30,60,gaming,<30,0
40,30,110,bet,30-50,0
80,20,190,gaming,<30,0
70,NA,140,bet,30-50,0
60,10,80,bet,50+,1
60,10,110,gaming,30-50,0
20,40,120,gaming,<30,0
60,20,150,gaming,<30,1
40,20,70,bet,30-50,0
40,20,70,bet,30-50,0
40,20,30,gaming,<30,1
80,40,90,gaming,<30,1
70,20,120,bet,<30,1
50,30,70,bet,<30,0
30,40,30,bet,<30,0
80,NA,140,gaming,<30,0
40,10,120,bet,<30,0
70,0,40,bet,<30,0
60,30,110,gaming,<30,1
90,0,170,gaming,<30,0
50,NA,80,gaming,30-50,1
30,40,30,bet,<30,0
50,20,50,gaming,30-50,0
40,30,110,gaming,30-50,0
60,10,80,bet,<30,0
60,30,150,gaming,<30,0
40,30,70,gaming,30-50,0
70,10,100,gaming,30-50,0
60,20,130,bet,<30,0
40,30,80,bet,30-50,0
50,10,60,bet,50+,0
20,20,0,bet,50+,0
60,0,120,bet,30-50,0
60,NA,1290,gaming,50+,1
20,NA,1220,gaming,<30,0
40,30,50,bet,<30,1
40,10,70,gaming,<30,0
10,30,50,bet,<30,1
40,30,70,gaming,<30,1
50,10,40,bet,50+,0
40,30,0,gaming,50+,0
10,10,0,gaming,50+,0
70,10,160,gaming,30-50,1
10,20,50,gaming,<30,0
50,30,60,bet,<30,0
30,0,20,gaming,<30,0
30,20,10,gaming,<30,1
60,10,60,gaming,30-50,0
60,30,60,gaming,30-50,0
60,20,30,gaming,<30,0
60,0,0,gaming,30-50,0
60,20,1050,gaming,<30,1
40,30,30,gaming,<30,0
90,10,100,gaming,<30,1
50,10,130,bet,30-50,0
50,0,160,gaming,<30,0
70,40,10,gaming,50+,0
40,20,60,gaming,<30,0
60,10,90,bet,<30,0
40,20,60,gaming,<30,1
60,NA,70,gaming,<30,0
80,10,120,gaming,30-50,0
30,10,40,gaming,<30,0
70,10,100,gaming,<30,0
50,20,110,bet,30-50,0
50,NA,40,bet,<30,0
30,30,40,bet,30-50,0
70,10,40,gaming,<30,0
50,20,110,bet,<30,0
60,10,130,gaming,<30,0
60,50,90,bet,30-50,0
30,20,110,gaming,<30,0
70,20,90,bet,<30,0
60,30,140,bet,50+,0
40,10,60,bet,30-50,0
20,20,80,bet,<30,0
30,20,110,gaming,<30,1
50,20,140,bet,30-50,0
60,0,60,gaming,<30,0
30,20,80,bet,<30,0
40,0,100,gaming,<30,0
40,20,80,bet,50+,1
20,10,90,bet,50+,0
70,30,130,gaming,<30,1
70,10,180,gaming,50+,1
90,20,140,bet,30-50,0
60,30,120,gaming,30-50,0
50,10,80,gaming,<30,0
60,10,40,gaming,30-50,1
60,20,60,bet,30-50,0
60,20,60,bet,30-50,0
30,40,140,gaming,<30,0
70,10,100,bet,50+,0
40,10,110,bet,30-50,0
40,20,20,gaming,50+,0
70,10,110,gaming,<30,0
40,20,620,gaming,50+,1
50,0,20,bet,50+,0
20,30,80,gaming,<30,0
50,20,90,bet,50+,1
30,30,10,bet,<30,0
70,30,140,gaming,<30,0
60,30,170,gaming,<30,1
50,10,110,gaming,30-50,0
30,10,60,bet,50+,1
60,10,1240,gaming,50+,1
60,40,160,gaming,<30,1
20,20,110,gaming,<30,1
60,20,90,gaming,<30,0
20,20,50,bet,30-50,0
10,20,0,bet,<30,0
30,40,40,gaming,<30,1
50,30,90,gaming,30-50,0
90,20,100,gaming,50+,0
20,40,20,bet,30-50,0
60,10,130,gaming,<30,1
40,10,120,bet,<30,0
40,10,10,gaming,<30,0
30,30,80,gaming,<30,0
20,10,100,bet,<30,0
60,NA,90,gaming,30-50,0
50,30,490,bet,<30,1
50,20,50,gaming,<30,0
60,30,130,bet,<30,0
50,10,70,bet,30-50,0
20,30,110,bet,<30,0
20,30,50,gaming,<30,1
20,10,60,gaming,30-50,0
60,20,1260,bet,30-50,1
40,20,80,bet,50+,0
70,10,70,gaming,30-50,0
20,20,0,gaming,50+,1
70,0,1190,bet,30-50,1
40,20,100,bet,<30,0
50,20,1280,gaming,50+,1
30,30,450,gaming,<30,0
70,0,100,gaming,50+,0
10,30,60,bet,<30,0
50,30,640,gaming,30-50,1
60,10,50,bet,30-50,0
50,30,0,gaming,50+,0
60,10,30,bet,<30,0
50,10,140,gaming,<30,0
40,10,80,gaming,50+,1
80,20,90,gaming,50+,0
30,0,20,gaming,50+,1
80,10,50,gaming,<30,0
70,0,80,gaming,50+,0
60,20,70,bet,<30,0
50,20,10,gaming,30-50,0
60,110,0,gaming,30-50,0
80,20,120,gaming,<30,0
50,30,40,gaming,30-50,0
30,20,40,bet,30-50,0
90,0,170,gaming,50+,1
70,0,180,gaming,30-50,0
20,40,0,bet,30-50,0
70,20,90,gaming,<30,1
80,10,110,gaming,30-50,0
20,20,40,gaming,<30,0
80,10,90,bet,30-50,0
20,20,60,bet,<30,1
40,100,40,gaming,<30,0
0,20,40,gaming,<30,1
90,20,150,bet,<30,0
50,0,40,bet,<30,0
80,20,90,gaming,30-50,0
50,20,10,gaming,50+,0
50,20,120,gaming,<30,0
40,20,110,bet,<30,0
30,50,60,gaming,30-50,0
50,20,120,gaming,<30,1
10,20,350,gaming,<30,1
60,30,130,bet,<30,0
60,NA,80,bet,<30,0
10,20,70,gaming,50+,0
20,20,100,bet,<30,1
50,20,140,bet,50+,0
50,10,50,gaming,<30,0
10,20,60,bet,30-50,1
50,0,110,bet,<30,1
50,10,90,bet,30-50,0
40,10,100,gaming,50+,1
60,30,120,bet,50+,0
10,20,120,gaming,<30,0
50,20,100,bet,30-50,0
30,30,90,bet,30-50,1
70,10,100,gaming,<30,0
90,10,70,bet,<30,0
80,10,90,gaming,<30,0
50,20,50,bet,50+,0
50,40,150,gaming,<30,1
80,10,110,gaming,30-50,0
50,110,110,bet,<30,0
70,20,50,gaming,30-50,0
70,10,110,gaming,<30,0
50,20,80,bet,<30,0
40,0,10,gaming,30-50,0
50,30,110,bet,<30,0
40,20,80,bet,50+,0
60,30,50,gaming,50+,1
80,30,150,bet,30-50,0
40,30,150,gaming,<30,0
30,10,100,bet,<30,0
40,10,60,bet,30-50,0
40,10,90,bet,<30,0
70,30,180,bet,<30,0
0,NA,90,bet,50+,1
30,20,50,gaming,50+,1
50,20,80,gaming,<30,0
30,240,20,gaming,30-50,1
40,NA,50,gaming,30-50,0
30,30,70,bet,30-50,0
50,30,70,gaming,<30,0
70,30,70,gaming,<30,0
40,NA,100,gaming,50+,1
0,10,80,gaming,<30,1
60,0,30,gaming,<30,0
40,30,100,bet,30-50,0
60,0,140,gaming,<30,1
70,20,100,gaming,50+,0
30,40,30,bet,<30,1
40,20,40,bet,30-50,0
80,20,1670,bet,30-50,1
0,20,10,gaming,50+,0
60,30,150,bet,<30,0
20,30,60,bet,<30,0
20,10,50,gaming,<30,1
20,20,90,bet,<30,0
60,20,100,bet,<30,1
40,NA,50,gaming,50+,0
30,20,0,bet,30-50,0
50,10,100,gaming,30-50,0
20,20,70,bet,30-50,0
80,20,160,bet,50+,0
30,30,30,gaming,<30,1
70,0,110,bet,30-50,0
50,30,90,bet,<30,0
40,30,60,gaming,30-50,0
30,10,20,gaming,<30,1
40,30,0,gaming,<30,1
50,10,20,bet,<30,1
40,10,120,gaming,<30,1
80,10,120,gaming,<30,0
70,20,940,bet,<30,1
30,0,20,bet,<30,1
40,10,20,bet,<30,0
70,0,70,gaming,<30,1
70,20,70,bet,50+,0
40,20,20,gaming,50+,0
60,10,0,bet,<30,0
40,20,90,bet,<30,0
50,30,40,gaming,<30,0
90,10,100,bet,30-50,0
50,NA,130,gaming,50+,0
60,0,170,gaming,50+,1
60,40,0,gaming,<30,0
80,520,100,bet,<30,0
90,10,120,gaming,50+,1
50,20,60,gaming,30-50,0
80,10,90,bet,30-50,0
10,20,50,bet,<30,0
40,10,50,gaming,30-50,0
60,10,90,gaming,30-50,0
50,20,110,bet,50+,1
50,0,40,gaming,<30,0
10,30,250,bet,30-50,0
80,10,50,gaming,50+,1
90,10,150,bet,30-50,0
30,20,100,bet,<30,1
40,50,80,bet,50+,0
50,20,130,bet,30-50,0
60,20,80,bet,<30,0
50,30,120,gaming,50+,0
30,10,50,bet,<30,0
60,20,110,gaming,30-50,0
60,20,150,bet,<30,1
60,20,150,bet,<30,0
60,10,60,gaming,30-50,0
60,10,110,bet,<30,0
10,10,70,bet,<30,1
70,10,110,gaming,<30,1
60,10,130,gaming,30-50,0
20,30,80,bet,<30,0
70,10,190,gaming,<30,0
70,20,120,gaming,<30,1
80,30,130,gaming,<30,0
50,10,80,gaming,30-50,0
0,20,0,bet,<30,0
60,20,70,bet,<30,0
50,30,50,gaming,<30,0
80,30,180,bet,50+,0
50,10,80,gaming,30-50,1
50,NA,110,gaming,<30,1
80,20,60,gaming,30-50,0
60,10,100,bet,30-50,0
40,20,70,bet,<30,0
50,0,20,bet,<30,0
70,20,130,gaming,30-50,0
40,20,80,bet,<30,0
60,30,40,gaming,30-50,0
10,30,80,bet,<30,0
40,30,160,gaming,30-50,0
70,NA,130,gaming,50+,1
40,10,60,bet,30-50,0
60,10,100,gaming,30-50,0
60,40,160,gaming,30-50,0
60,20,150,gaming,50+,1
60,20,950,bet,30-50,1
60,10,90,bet,30-50,0
50,10,40,bet,50+,0
20,40,30,bet,<30,1
90,20,1460,bet,<30,1
50,30,70,bet,50+,0
30,40,20,bet,<30,0
30,10,100,bet,<30,1
40,10,110,bet,<30,0
50,10,20,gaming,30-50,0
20,30,80,gaming,<30,1
50,0,130,gaming,<30,0
50,20,80,bet,50+,0
30,40,30,gaming,<30,0
80,10,80,gaming,50+,0
50,30,130,gaming,30-50,0
50,10,70,gaming,<30,0
50,30,140,gaming,<30,1
80,20,110,bet,<30,0
50,10,80,gaming,<30,0
50,20,120,gaming,<30,0
50,20,100,bet,<30,0
40,10,50,bet,30-50,0
40,20,0,bet,<30,0
60,0,120,gaming,30-50,0
60,20,120,bet,<30,0
80,20,160,bet,50+,0
50,30,60,bet,50+,1
0,10,40,gaming,<30,1
30,30,70,gaming,50+,1
40,30,620,gaming,50+,1
60,10,50,gaming,<30,0
50,30,0,gaming,<30,0
10,10,0,gaming,30-50,1
80,10,160,gaming,<30,1
70,10,110,bet,50+,1
50,30,60,gaming,<30,0
60,NA,50,gaming,<30,0
90,10,60,gaming,<30,1
70,0,70,gaming,30-50,0
70,20,80,bet,30-50,0
30,20,0,gaming,30-50,0
30,10,0,bet,50+,0
70,20,120,bet,<30,0
10,30,0,gaming,<30,1
60,NA,70,bet,<30,0
70,0,150,gaming,<30,1
60,0,170,gaming,<30,1
40,40,0,bet,<30,0
60,20,80,gaming,50+,0
50,10,80,bet,30-50,0
40,20,50,bet,<30,0
60,20,70,gaming,30-50,0
70,10,120,gaming,<30,0
20,10,30,bet,30-50,0
60,10,90,gaming,<30,0
70,20,120,gaming,<30,0
40,0,30,gaming,30-50,0
20,30,30,bet,50+,1
30,20,0,gaming,<30,0
70,20,140,gaming,30-50,1
40,20,110,gaming,50+,0
80,40,120,bet,30-50,0
50,20,130,bet,30-50,0
60,20,80,gaming,50+,1
10,30,90,bet,30-50,0
40,590,60,bet,50+,0
20,20,80,gaming,50+,0
90,10,170,gaming,<30,0
30,20,120,gaming,50+,0
80,0,80,gaming,30-50,0
80,10,140,bet,30-50,0
60,0,120,gaming,<30,1
30,20,70,bet,<30,0
60,10,130,gaming,30-50,0
40,30,100,gaming,<30,0
70,10,1770,bet,30-50,1
50,20,1140,gaming,30-50,1
40,30,90,gaming,30-50,0
40,20,70,bet,<30,0
60,10,50,gaming,50+,0
70,10,80,bet,<30,0
90,20,90,bet,<30,0
20,40,120,bet,30-50,0
20,10,410,bet,50+,1
40,10,100,gaming,50+,1
80,20,60,bet,30-50,0
60,10,960,gaming,30-50,1
50,20,80,bet,30-50,0
60,0,30,gaming,30-50,0
